,1->2,1->3
0,712.84,854.0
1,714.28,716.4
2,539.88,693.92
3,519.24,691.16
4,613.84,3071.72
5,763.6,875.14
6,734.8,792.0
7,619.18,720.28
8,446.76,3309.52
9,767.16,946.16
10,732.74,878.58
11,513.26,149.18
12,421.22,586.9
13,480.26,623.6
14,407.62,577.12
15,791.42,907.4
16,472.96,671.7
17,671.86,816.62
18,568.78,259.44
19,686.6,816.2
20,677.12,755.44
21,387.34,544.24
22,725.16,871.66
23,520.92,149.22
24,512.54,140.64
25,675.9,833.92
26,493.48,732.08
27,507.3,815.42
28,709.96,838.06
29,518.16,149.5
30,514.78,745.98
31,570.44,742.82
32,701.92,870.52
33,554.72,735.28
34,667.66,925.44
35,412.28,636.74
36,705.16,848.76
37,568.32,2426.68
38,485.94,140.3
39,502.12,685.82
40,510.12,648.48
41,448.98,577.32
42,5973.62,6103.9
43,774.38,1005.68
44,719.48,928.1
45,551.48,419.12
46,569.08,837.84
47,710.72,857.34
48,551.82,804.66
49,552.68,858.3
50,652.46,878.4
51,651.06,907.56
52,663.46,823.82
53,702.94,900.9
54,626.74,326.36
55,714.24,944.7
56,705.44,895176.1
57,741.0,881.48
58,587.02,783.44
59,702.9,951.54
60,388.72,601.5
61,430.04,883555.4
62,684.54,829.7
63,522.92,161.12
64,702.52,822.98
65,331.32,499.68
66,617.96,757.92
67,390.32,629.38
68,212.58,919.18
69,744.72,962.7
70,413.22,2613.1
71,590.06,2575.24
72,538.96,156.5
73,756.02,718.82
74,475.26,122.0
75,507.14,2645.28
76,477.48,143.7
77,746.54,937.06
78,744.08,973.8
79,679.86,355.46
80,452.84,632.52
81,506.18,672.74
82,633.84,859.16
83,307.8,865952.6
84,196.32,2336.38
85,699.8,851.44
86,767.96,817.02
87,699.78,141.62
88,479.36,125.44
89,504.78,129.76
90,494.52,142.68
91,517.0,153.2
92,87.32,0.0
93,501.04,164.88
94,51.58,0.0
95,198.58,372.02
96,600.58,4424.96
97,689.72,820.36
98,532.78,2052.1
99,518.04,142.38
100,607.38,153.8
101,764.0,937.0
